HTF_State;Maj_State;Min_State;Entry_Type;Risk_Multiplier;BE_Trigger_R;Partial_R;Partial_Pct;TP_Strategy;TP_Param;Trail_Strategy;Location_Filter;Dash_Note
Impulse Up - BoS Up;Impulse Up - BoS Up;Impulse Up - BoS Up;1;1;0;-1;50;HTF_ACTIVE;10;TRAIL_STRUCT;HTF_ZONE;1-Buy Major - Chot 50% HTF_ACTIVE som 10.0 pips
Impulse Up - BoS Up;Impulse Up - BoS Up;Impulse Up - BoS Down;1;1;0;-1;50;HTF_ACTIVE;10;TRAIL_STRUCT;HTF_ZONE;2-Buy Major - Chot 50% HTF_ACTIVE som 10.0 pips
Impulse Up - BoS Up;Impulse Up - BoS Up;Impulse Down - ChoCh Down;1;1;0;-1;50;HTF_ACTIVE;10;TRAIL_STRUCT;HTF_ZONE;3-Buy Major - Chot 50% HTF_ACTIVE som 10.0 pips
Impulse Up - BoS Up;Impulse Up - BoS Up;Impulse Down - BoS Down;1;1;0;-1;50;HTF_ACTIVE;10;TRAIL_STRUCT;HTF_ZONE;4-Buy Major - Chot 50% HTF_ACTIVE som 10.0 pips
Impulse Up - BoS Up;Impulse Up - BoS Up;Impulse Down - BoS Up;1;1;0;-1;50;HTF_ACTIVE;10;TRAIL_STRUCT;HTF_ZONE;5-Buy Major - Chot 50% HTF_ACTIVE som 10.0 pips
Impulse Up - BoS Up;Impulse Up - BoS Up;Impulse Up - ChoCh Up;1;1;0;-1;50;HTF_ACTIVE;10;TRAIL_STRUCT;HTF_ZONE;6-Buy Major - Chot 50% HTF_ACTIVE som 10.0 pips
Impulse Up - BoS Up;Impulse Up - BoS Down;Impulse Up - BoS Up;0;0;0;0;0;FIXED_R;0;NONE;HTF_ZONE;7-Dung ngoaiTP: FIXED_R0.0
Impulse Up - BoS Up;Impulse Up - BoS Down;Impulse Up - BoS Down;0;0;0;0;0;FIXED_R;0;NONE;HTF_ZONE;8-Dung ngoaiTP: FIXED_R0.0
Impulse Up - BoS Up;Impulse Up - BoS Down;Impulse Down - ChoCh Down;0;0;0;0;0;FIXED_R;0;NONE;HTF_ZONE;9-Dung ngoaiTP: FIXED_R0.0
Impulse Up - BoS Up;Impulse Up - BoS Down;Impulse Down - BoS Down;0;0;0;0;0;FIXED_R;0;NONE;HTF_ZONE;10-Dung ngoaiTP: FIXED_R0.0
Impulse Up - BoS Up;Impulse Up - BoS Down;Impulse Down - BoS Up;0;0;0;0;0;FIXED_R;0;NONE;HTF_ZONE;11-Dung ngoaiTP: FIXED_R0.0
Impulse Up - BoS Up;Impulse Up - BoS Down;Impulse Up - ChoCh Up;0;0;0;0;0;FIXED_R;0;NONE;HTF_ZONE;12-Dung ngoaiTP: FIXED_R0.0
Impulse Up - BoS Up;Impulse Down - ChoCh Down;Impulse Up - BoS Up;0;0;0;0;0;FIXED_R;0;NONE;HTF_ZONE;13-Dung ngoaiTP: FIXED_R0.0
Impulse Up - BoS Up;Impulse Down - ChoCh Down;Impulse Up - BoS Down;0;0;0;0;0;FIXED_R;0;NONE;HTF_ZONE;14-Dung ngoaiTP: FIXED_R0.0
Impulse Up - BoS Up;Impulse Down - ChoCh Down;Impulse Down - ChoCh Down;0;0;0;0;0;FIXED_R;0;NONE;HTF_ZONE;15-Dung ngoaiTP: FIXED_R0.0
Impulse Up - BoS Up;Impulse Down - ChoCh Down;Impulse Down - BoS Down;0;0;0;0;0;FIXED_R;0;NONE;HTF_ZONE;16-Dung ngoaiTP: FIXED_R0.0
Impulse Up - BoS Up;Impulse Down - ChoCh Down;Impulse Down - BoS Up;0;0;0;0;0;FIXED_R;0;NONE;HTF_ZONE;17-Dung ngoaiTP: FIXED_R0.0
Impulse Up - BoS Up;Impulse Down - ChoCh Down;Impulse Up - ChoCh Up;0;0;0;0;0;FIXED_R;0;NONE;HTF_ZONE;18-Dung ngoaiTP: FIXED_R0.0
