time_vao,time_dong,chieu,nguon,gia_vao,sl_goc,R_pip,mfe_pip,mae_pip,mfe_R,mae_R,cham10,phut10,phut_ve_entry_10,cham20,phut20,phut_ve_entry_20,cham30,phut30,phut_ve_entry_30,cham50,phut50,phut_ve_entry_50,cham80,phut80,phut_ve_entry_80,cham100,phut100,phut_ve_entry_100,cham150,phut150,phut_ve_entry_150,cham200,phut200,phut_ve_entry_200,cham300,phut300,phut_ve_entry_300,ket_cuc,lai_usd,phut_giu
2025.10.01 01:32,2025.10.01 01:49,SELL,LienKe,3865.104,3868.522,34.2,11.6,19.0,0.34,0.56,1,1,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-34.18,17
2025.10.01 01:32,2025.10.01 01:49,SELL,LienKe,3864.664,3868.522,38.6,7.2,23.4,0.19,0.61,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-38.58,17
2025.10.01 07:23,2025.10.01 07:37,SELL,Swing,3869.952,3873.393,34.4,24.2,33.7,0.70,0.98,1,1,6,1,3,6,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-34.41,14
2025.10.01 07:23,2025.10.01 07:37,SELL,Swing,3869.496,3873.393,39.0,19.7,38.3,0.50,0.98,1,1,6,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-38.97,14
2025.10.01 20:10,2025.10.02 00:20,BUY,LienKe,3861.564,3857.262,43.0,62.0,40.9,1.44,0.95,1,1,7,1,19,118,1,24,118,1,112,118,0,,,0,,,0,,,0,,,0,,,SL,-59.07,250
2025.10.01 14:49,2025.10.02 01:00,BUY,LienKe,3863.322,3853.165,101.6,134.8,84.5,1.33,0.83,1,0,29,1,0,29,1,0,29,1,1,29,1,2,29,1,8,29,0,,,0,,,0,,,SL,-117.62,611
2025.10.01 14:49,2025.10.02 01:00,BUY,LienKe,3866.554,3853.165,133.9,102.5,116.9,0.77,0.87,1,1,23,1,1,23,1,2,23,1,2,23,1,11,23,1,11,23,0,,,0,,,0,,,SL,-149.94,611
2025.10.01 17:22,2025.10.02 07:17,SELL,LienKe,3871.515,3874.762,32.5,185.2,30.8,5.70,0.95,1,6,8,1,6,8,1,15,763,1,17,763,1,24,763,1,26,763,1,42,763,0,,,0,,,SL,-32.47,834
2025.10.01 17:22,2025.10.02 07:17,SELL,LienKe,3871.298,3874.762,34.6,183.1,32.9,5.28,0.95,1,6,7,1,6,7,1,15,725,1,17,725,1,24,725,1,36,725,1,43,725,0,,,0,,,SL,-34.64,835
2025.10.02 09:45,2025.10.02 10:21,SELL,LienKe,3878.564,3882.340,37.8,28.0,19.4,0.74,0.51,1,0,1,1,5,7,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-37.76,36
2025.10.02 09:45,2025.10.02 10:21,SELL,LienKe,3877.678,3882.340,46.6,19.2,28.3,0.41,0.61,1,5,7,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-46.62,36
2025.10.01 18:07,2025.10.02 11:37,BUY,Swing,3855.819,3851.868,39.5,295.7,29.9,7.48,0.76,1,1,2,1,3,413,1,4,413,1,6,413,1,11,413,1,24,413,1,102,413,1,877,-,0,,,TP,283.95,1050
2025.10.01 18:06,2025.10.02 12:03,BUY,Swing,3857.438,3851.868,55.7,295.7,46.1,5.31,0.83,1,0,1,1,7,374,1,7,374,1,10,374,1,25,374,1,96,374,1,729,-,1,890,-,0,,,TP,283.95,1077
2025.10.02 12:02,2025.10.02 12:06,SELL,LienKe,3886.752,3890.005,32.5,1.1,22.4,0.03,0.69,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-32.53,4
2025.10.02 12:02,2025.10.02 12:06,SELL,LienKe,3886.481,3890.005,35.2,3.4,25.1,0.10,0.71,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-35.24,4
2025.10.02 04:46,2025.10.02 13:30,BUY,LienKe,3863.997,3860.734,32.6,298.0,23.0,9.13,0.70,1,14,130,1,15,130,1,15,130,1,30,130,1,87,130,1,91,130,1,298,-,1,390,-,0,,,TP,300.00,523
2025.10.02 04:36,2025.10.02 13:31,BUY,LienKe,3864.325,3860.734,35.9,298.5,26.3,8.31,0.73,1,2,9,1,25,140,1,31,140,1,49,140,1,99,140,1,160,172,1,308,-,1,402,-,0,,,TP,300.00,535
2025.10.02 14:01,2025.10.02 14:12,BUY,LienKe,3873.961,3869.633,43.3,27.5,35.0,0.64,0.81,1,0,1,1,0,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-43.28,11
2025.10.02 14:01,2025.10.02 14:12,BUY,LienKe,3876.739,3869.633,71.1,1.1,62.8,0.02,0.88,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-71.06,11
2025.10.02 18:37,2025.10.02 18:50,SELL,LienKe,3847.632,3850.993,33.6,0.0,16.5,0.00,0.49,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-33.61,13
2025.10.02 18:37,2025.10.02 18:50,SELL,LienKe,3847.159,3850.993,38.3,0.0,21.2,0.00,0.55,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-38.34,13
2025.10.03 06:14,2025.10.03 07:23,SELL,LienKe,3858.859,3862.241,33.8,33.7,33.5,1.00,0.99,1,20,21,1,33,39,1,36,39,0,,,0,,,0,,,0,,,0,,,0,,,SL,-33.82,69
2025.10.03 06:14,2025.10.03 07:23,SELL,LienKe,3858.586,3862.241,36.6,30.9,36.3,0.85,0.99,1,32,39,1,33,39,1,36,39,0,,,0,,,0,,,0,,,0,,,0,,,SL,-36.55,69
2025.10.03 08:58,2025.10.03 12:34,SELL,LienKe,3865.316,3868.705,33.9,104.7,33.5,3.09,0.99,1,2,63,1,4,63,1,6,63,1,8,63,1,23,63,1,156,196,0,,,0,,,0,,,SL,-33.89,215
2025.10.03 08:10,2025.10.03 12:34,SELL,LienKe,3863.452,3868.705,52.5,86.0,52.1,1.64,0.99,1,0,19,1,7,19,1,12,19,1,71,106,1,204,222,0,,,0,,,0,,,0,,,SL,-52.53,264
2025.10.03 11:35,2025.10.03 13:45,BUY,Swing,3857.598,3851.689,59.1,299.1,11.3,5.06,0.19,1,1,-,1,2,-,1,5,-,1,14,-,1,57,-,1,57,-,1,82,-,1,98,-,0,,,TP,300.00,130
2025.10.05 22:14,2025.10.05 22:17,SELL,LienKe,3889.182,3892.739,35.6,0.0,32.4,0.00,0.91,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-35.57,3
2025.10.05 22:14,2025.10.05 22:17,SELL,Swing,3889.182,3892.739,35.6,0.0,32.4,0.00,0.91,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-35.57,3
2025.10.05 22:07,2025.10.05 22:17,SELL,LienKe,3886.259,3892.739,64.8,20.7,61.7,0.32,0.95,1,3,4,1,3,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-64.80,10
2025.10.05 22:07,2025.10.05 22:17,SELL,Swing,3886.259,3892.739,64.8,20.7,61.7,0.32,0.95,1,3,4,1,3,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-64.80,10
